id,source,store_number,city,store_address,store_name,state_code,zip_code,latitude,longitude,overall_rating,review_count,scraped_at
29,google,1713,Elizabeth City,1605 W Ehringhaus St,Lowe's Home Improvement,NC,27909,36.29114,-76.245984,3.9,1801,3/25/26
30,google,1653,Elkin,492 CC Camp Rd,Lowe's Home Improvement,NC,28621,36.273704,-80.841033,4.2,1254,3/25/26
31,google,1777,Erwin,524 E Jackson Blvd,Lowe's Home Improvement,NC,28339,35.324702,-78.64582,4.1,1727,3/25/26
32,google,0388,Fayetteville,1929 Skibo Rd,Lowe's Home Improvement,NC,28314,35.066155,-78.964106,4.1,3016,3/25/26
33,google,0767,Fayetteville,3909 Ramsey St,Lowe's Home Improvement,NC,28311,35.114435,-78.884783,4,2397,3/25/26
34,google,2905,Fayetteville,7771 Good Middling Dr,Lowe's Home Improvement,NC,28304,35.027156,-79.057841,4.2,2305,3/25/26
35,google,1788,Forest City,184 Lowes Blvd,Lowe's Home Improvement,NC,28043,35.33878,-81.895919,4,1812,3/25/26
36,google,0717,Franklin,161 Franklin Plaza,Lowe's Home Improvement,NC,28734,35.166286,-83.393418,4,1408,3/25/26
37,google,0488,Garner,1575 US-70,Lowe's Home Improvement,NC,27529,35.72351,-78.64997,4.1,2612,3/25/26
38,google,0677,Garner,101 Cleveland Crossing Dr,Lowe's Home Improvement,NC,27529,35.608347,-78.55846,4.2,2418,3/25/26
39,google,0457,Gastonia,3250 E Franklin Blvd,Lowe's Home Improvement,NC,28056,35.2601,-81.120563,4.2,2570,3/25/26
40,google,0557,Goldsboro,1202 N Berkeley Blvd,Lowe's Home Improvement,NC,27534,35.379678,-77.929357,3.9,2513,3/25/26
41,google,0387,Greensboro,3001 Battleground Ave,Lowe's Home Improvement,NC,27408,36.114947,-79.83771,4.2,2100,3/25/26
42,google,2222,Greensboro,109 W Elmsley Dr,Lowe's Home Improvement,NC,27406,36.001824,-79.795669,4.2,1817,3/25/26
43,google,0404,Greensboro,1703 S 40 Dr,Lowe's Home Improvement,NC,27407,36.0546,-79.8891,4.1,1828,3/25/26
44,google,2771,Greensboro,2005 E Cone Blvd,Lowe's Home Improvement,NC,27405,36.113495,-79.754639,4.2,1934,3/25/26
45,google,3643,Greensboro,3729 Battleground Ave,Lowe's Outlet Store,NC,27410,36.114299,-79.834552,4,309,3/25/26
46,google,2837,Greenville,3840 E 10th St,Lowe's Home Improvement,NC,27858,35.588025,-77.318144,4.2,1528,3/25/26
47,google,2256,Hampstead,106 Wilkes Ln,Lowe's Home Improvement,NC,28443,34.45253214,-77.60844253,4.2,1595,3/25/26
